Created Date,Complaint Type,Descriptor,Incident Zip,X Coordinate (State Plane),Y Coordinate (State Plane),Latitude,Longitude
01/05/2016 11:58:25 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11208,1015817,187827,40.68216220481194,-73.88618554979115
01/05/2016 12:09:51 PM,Building/Use,Illegal. Commercial Use In Resident Zone,10025,991407,227940,40.79231583995937,-73.97415283137067
01/05/2016 12:10:05 PM,Building/Use,Illegal. Commercial Use In Resident Zone,11204,989826,161216,40.60917529056423,-73.97991778225222
01/05/2016 12:31:45 PM,Building/Use,Illegal Conversion Of Residential Building/Space,10026,998402,231361,40.80169712010506,-73.9488835129254
01/05/2016 12:37:07 PM,Building/Use,Illegal Conversion Of Residential Building/Space,10465,1032761,243148,40.83392722345733,-73.82469512046555
01/05/2016 12:59:50 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11236,1011007,170528,40.634696128324194,-73.90359657493879
01/05/2016 01:11:42 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11419,1033998,189684,40.6871757251363,-73.82062060553008
01/05/2016 01:32:30 PM,Building/Use,Illegal. Commercial Use In Resident Zone,11374,1021450,205393,40.73035479210307,-73.86577881967943
01/05/2016 01:40:37 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11428,1055868,201666,40.71991341364508,-73.74163557270957
01/05/2016 01:40:52 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11220,980912,171688,40.63791986507298,-74.0120271373765
01/05/2016 01:41:52 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11379,1017119,203434,40.72499497391058,-73.88141503283508
01/05/2016 01:42:01 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11104,1007200,210628,40.744772017017596,-73.91717629195041
01/05/2016 01:51:58 PM,Building/Use,SRO - Illegal Work/No Permit/Change In Occupancy/Use,11236,1006744,170758,40.63533928067907,-73.91895506169136
01/05/2016 02:10:57 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11102,1004292,221372,40.774268603651784,-73.92763886902915
01/05/2016 02:17:43 PM,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,10467,1023681,260892,40.88267432417957,-73.85740319723789
01/05/2016 02:36:08 PM,Building/Use,Illegal Conversion Of Residential Building/Space,10312,937634,141745,40.55561048903983,-74.16775514718817
01/05/2016 02:42:29 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11419,1029842,191240,40.69146896355427,-73.8355955811217
01/05/2016 02:44:05 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11433,1045838,193444,40.697421555548146,-73.77789418570148
01/05/2016 03:29:47 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11434,1046149,190634,40.689706611038645,-73.77679844732224
01/05/2016 03:40:36 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11434,1046149,190634,40.689706611038645,-73.77679844732224
01/05/2016 04:06:40 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11357,1037569,227389,40.79064554382299,-73.80744561989484
01/05/2016 04:09:21 PM,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,11355,1034811,210045,40.74305707175803,-73.81753620415962
01/05/2016 04:16:54 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11355,1030786,213462,40.752457956394366,-73.83203788373753
01/05/2016 04:42:15 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11370,1013596,220593,40.77210446229037,-73.8940504431782
01/05/2016 04:58:48 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11223,988525,159214,40.60368093296162,-73.98460466006543
01/05/2016 05:02:28 PM,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,10474,1015523,235479,40.81295587362912,-73.88702397690774
01/05/2016 05:21:04 PM,Building/Use,Illegal Conversion Of Residential Building/Space,10028,997501,222469,40.77729236881097,-73.95215543230414
01/05/2016 05:43:54 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11228,981658,162682,40.61320053429356,-74.00933576879005
01/05/2016 05:58:59 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11357,1037567,227375,40.79060712974853,-73.8074529537355
01/05/2016 06:00:10 PM,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,11204,987432,161109,40.60888278057292,-73.98853993247702
01/05/2016 07:33:05 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11355,1031036,214412,40.75506414117969,-73.83112895227703
01/05/2016 07:33:14 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11358,1039252,215556,40.758156830568815,-73.80146456582386
01/05/2016 07:54:12 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11223,994448,157636,40.599344807092564,-73.96327684574815
01/05/2016 08:53:12 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11419,1030630,188409,40.68369443763031,-73.83277355424121
01/05/2016 09:17:07 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11203,1002829,175868,40.64937420598916,-73.93304656415728
01/05/2016 09:20:53 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11417,1027567,186374,40.678124353419115,-73.84383047922361
01/05/2016 09:51:30 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11370,1015385,217134,40.76260429184176,-73.88760754328324
01/05/2016 10:16:03 PM,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,11373,1015928,207574,40.73636259571357,-73.88569243379513
01/06/2016 06:58:11 AM,Building/Use,Illegal. Commercial Use In Resident Zone,11432,1038987,197427,40.708398955204615,-73.80256859623282
01/06/2016 07:44:00 AM,Building/Use,Illegal Conversion Of Residential Building/Space,10010,987247,209941,40.74291564554651,-73.98918450107251
01/06/2016 07:56:07 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11419,1032959,191375,40.69182290073077,-73.82435475493774
01/06/2016 08:28:01 AM,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,11203,1002408,180921,40.66324445328309,-73.93455012232168
01/06/2016 08:46:25 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11366,1041135,204515,40.72784021040544,-73.7947610824045
01/06/2016 09:22:14 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11433,1042220,196407,40.70557871312362,-73.79091628238056
01/06/2016 09:23:34 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11433,1042216,196417,40.70560618689362,-73.790930623272
01/06/2016 09:24:24 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11426,1058828,204167,40.7267535627444,-73.73092962158408
01/06/2016 09:25:09 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11433,1042215,196404,40.70557051160963,-73.79093434192268
01/06/2016 09:39:36 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11212,1007659,180509,40.662101279009846,-73.91562451678291
01/06/2016 09:45:49 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11221,1005370,192203,40.69420440738162,-73.92383834484369
01/06/2016 09:45:55 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11423,1046893,196591,40.70605189942234,-73.77406026599525
01/06/2016 09:48:01 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11419,1031672,189414,40.68644740644741,-73.82900948399866
01/06/2016 09:49:16 AM,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,,,,
01/06/2016 09:50:51 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11358,1038104,214494,40.755248985533726,-73.80561688387387
01/06/2016 10:06:48 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11368,1021667,214293,40.754782127800404,-73.86494635508134
