C_O_ISSUE_DATE,BOROUGH,POSTCODE,ISSUE_TYPE
08/01/2016,Manhattan,10013,Temporary
03/10/2016,Manhattan,10013,Temporary
01/07/2016,Manhattan,10027,Temporary
03/21/2016,Manhattan,10027,Temporary
12/14/2016,Manhattan,10020,Temporary
01/07/2016,Manhattan,10020,Temporary
03/29/2016,Manhattan,10020,Temporary
06/22/2016,Manhattan,10020,Temporary
09/12/2016,Manhattan,10020,Temporary
10/13/2016,Manhattan,10019,Temporary
01/07/2016,Manhattan,10019,Temporary
04/27/2016,Manhattan,10019,Temporary
07/19/2016,Manhattan,10019,Temporary
10/27/2016,Manhattan,10013,Temporary
03/08/2016,Manhattan,10013,Temporary
11/15/2016,Manhattan,10009,Temporary
03/24/2016,Manhattan,10039,Temporary
06/28/2016,Manhattan,10039,Temporary
09/29/2016,Manhattan,10039,Temporary
01/11/2016,Manhattan,10007,Temporary
12/21/2016,Manhattan,10007,Temporary
04/15/2016,Manhattan,10007,Temporary
07/07/2016,Manhattan,10007,Temporary
09/30/2016,Manhattan,10007,Temporary
11/02/2016,Manhattan,10038,Temporary
05/02/2016,Manhattan,10038,Temporary
08/09/2016,Manhattan,10038,Temporary
02/05/2016,Manhattan,10013,Temporary
05/03/2016,Manhattan,10013,Temporary
12/07/2016,Manhattan,10022,Temporary
03/15/2016,Manhattan,10022,Temporary
06/30/2016,Manhattan,10022,Temporary
09/19/2016,Manhattan,10022,Temporary
09/13/2016,Manhattan,10013,Temporary
10/13/2016,Manhattan,10007,Temporary
12/27/2016,Manhattan,10007,Temporary
02/11/2016,Manhattan,10007,Temporary
05/11/2016,Manhattan,10007,Temporary
08/01/2016,Manhattan,10007,Temporary
10/12/2016,Manhattan,10027,Temporary
07/19/2016,Manhattan,10027,Temporary
04/18/2016,Manhattan,10012,Temporary
07/12/2016,Manhattan,10012,Temporary
01/08/2016,Manhattan,10025,Temporary
12/07/2016,Manhattan,10016,Temporary
03/18/2016,Manhattan,10016,Temporary
06/14/2016,Manhattan,10016,Temporary
09/08/2016,Manhattan,10016,Temporary
02/22/2016,Manhattan,10012,Temporary
05/10/2016,Manhattan,10012,Temporary
10/06/2016,Manhattan,10012,Temporary
12/28/2016,Manhattan,10012,Temporary
02/25/2016,Manhattan,10012,Temporary
07/13/2016,Manhattan,10012,Temporary
02/02/2016,Manhattan,10011,Temporary
02/25/2016,Manhattan,10001,Temporary
12/14/2016,Manhattan,10019,Temporary
05/18/2016,Manhattan,10001,Final
10/25/2016,Manhattan,10022,Temporary
02/25/2016,Manhattan,10022,Temporary
07/13/2016,Manhattan,10022,Temporary
12/06/2016,Manhattan,10024,Temporary
01/07/2016,Manhattan,10024,Temporary
03/29/2016,Manhattan,10024,Temporary
06/21/2016,Manhattan,10024,Temporary
09/14/2016,Manhattan,10024,Temporary
03/30/2016,Manhattan,10017,Temporary
03/04/2016,Manhattan,10013,Temporary
